Age,EdLevel,Employment,WorkExp,YearsCode,DevType,ICorPM,RemoteWork,Industry,Country,LanguageHaveWorkedWith,DatabaseHaveWorkedWith,annual_salary_usd,income_tier,orgsize_log
49.5,6.0,0,30.0,40.0,"Developer, front-end",0.0,"Hybrid (some remote, leans heavy to in-person)",Software Development,DEU,7.0,4.0,76570.0,3.0,4.085976312551584
29.5,4.0,1,12.0,15.0,"Developer, back-end",0.0,Remote,Software Development,BRA,7.0,2.0,66128.0,2.0,5.702114417555504
59.5,4.0,0,29.0,34.0,"Developer, desktop or enterprise applications",0.0,"Hybrid (some remote, leans heavy to in-person)",Retail and Consumer Services,DEU,1.0,1.0,99773.0,3.0,8.006200887093147
29.5,4.0,0,10.0,10.0,"Developer, full-stack",0.0,Remote,Other:,GBR,5.0,2.0,149756.0,3.0,9.903487552536127
39.5,4.0,1,10.0,11.0,"Developer, back-end",0.0,Remote,Software Development,POL,,,136450.0,3.0,0.0
29.5,4.0,1,13.0,15.0,"Developer, mobile",,,Retail and Consumer Services,ESP,8.0,,127616.0,3.0,
21.0,4.0,0,2.0,10.0,"Developer, mobile",0.0,"Hybrid (some remote, leans heavy to in-person)",Government,GBR,6.0,1.0,61264.0,3.0,5.702114417555504
39.5,2.0,0,12.0,15.0,"Developer, back-end",0.0,Remote,"Internet, Telecomm or Information Services",POL,,4.0,68225.0,3.0,6.619406317542652
29.5,4.0,0,5.0,9.0,"Developer, full-stack",0.0,"Hybrid (some remote, leans heavy to in-person)",Software Development,DEU,8.0,6.0,39445.0,3.0,2.302585092994046
49.5,,0,15.0,20.0,"Developer, full-stack",0.0,Remote,Software Development,DEU,3.0,,51046.0,3.0,2.302585092994046
39.5,4.0,0,8.0,10.0,"Developer, embedded applications or devices",0.0,Remote,Software Development,GBR,,,98703.0,3.0,
39.5,4.0,0,16.0,20.0,"Developer, game or graphics",0.0,"Hybrid (some remote, leans heavy to in-person)",Software Development,SWE,4.0,,78616.0,3.0,5.702114417555504
39.5,1.0,1,24.0,28.0,"Developer, back-end",,,"Transportation, or Supply Chain",AUT,2.0,1.0,185623.0,3.0,
29.5,5.0,0,3.0,7.0,"Developer, full-stack",0.0,"Hybrid (some remote, leans heavy to in-person)",Software Development,MRT,5.0,2.0,121570.0,1.0,4.085976312551584
39.5,,0,16.0,21.0,"Developer, full-stack",0.0,"Hybrid (some remote, leans heavy to in-person)",Government,DEU,7.0,4.0,72672.0,3.0,5.702114417555504
21.0,4.0,0,4.0,4.0,"Developer, full-stack",0.0,In-person,Software Development,PHL,5.0,3.0,13169.0,2.0,9.903487552536127
39.5,6.0,0,7.0,,Data scientist,0.0,"Hybrid (some remote, leans heavy to in-person)",Other:,DEU,2.0,7.0,81210.0,3.0,8.006200887093147
59.5,4.0,1,39.0,43.0,"Developer, full-stack",,,Healthcare,IRL,6.0,2.0,116015.0,3.0,
39.5,5.0,0,13.0,18.0,Data engineer,0.0,Remote,Software Development,USA,7.0,6.0,570000.0,3.0,9.903487552536127
49.5,4.0,0,25.0,30.0,Data engineer,0.0,"Your choice (very flexible, you can come in when you want or just as needed)",Retail and Consumer Services,DEU,6.0,5.0,139218.0,3.0,8.922591630635415
49.5,4.0,0,25.0,30.0,"Developer, full-stack",0.0,Remote,Software Development,USA,8.0,6.0,190000.0,3.0,
29.5,4.0,0,2.0,6.0,"Developer, back-end",0.0,In-person,Media & Advertising Services,FRA,1.0,1.0,35965.0,3.0,2.302585092994046
49.5,4.0,0,27.0,35.0,"Developer, full-stack",0.0,"Hybrid (some remote, leans heavy to in-person)",Software Development,AUS,14.0,8.0,149522.0,3.0,4.085976312551584
29.5,2.0,1,15.0,15.0,"Founder, technology or otherwise",0.0,Remote,Computer Systems Design and Services,PRT,8.0,3.0,139218.0,3.0,2.302585092994046
29.5,4.0,0,8.0,7.0,"Developer, full-stack",0.0,"Hybrid (some in-person, leans heavy to flexibility)",Software Development,BLR,4.0,2.0,55000.0,2.0,6.619406317542652
39.5,5.0,0,11.0,14.0,"Developer, full-stack",0.0,Remote,Software Development,BRA,6.0,,13107.0,2.0,5.702114417555504
39.5,5.0,0,14.0,20.0,"Developer, desktop or enterprise applications",0.0,Remote,Software Development,DEU,2.0,2.0,116015.0,3.0,9.903487552536127
59.5,4.0,1,41.0,42.0,"Developer, full-stack",,,Software Development,BRA,2.0,3.0,36407.0,2.0,
49.5,4.0,0,21.0,25.0,"Architect, software or solutions",0.0,"Hybrid (some in-person, leans heavy to flexibility)",Government,USA,6.0,1.0,150000.0,3.0,9.903487552536127
39.5,5.0,0,4.0,15.0,"Developer, full-stack",0.0,"Hybrid (some remote, leans heavy to in-person)",Other:,DEU,6.0,5.0,71465.0,3.0,5.702114417555504
39.5,1.0,0,16.0,22.0,"Developer, back-end",0.0,Remote,Software Development,CAN,6.0,5.0,248058.0,3.0,8.006200887093147
39.5,2.0,0,12.0,25.0,"Developer, full-stack",0.0,Remote,Software Development,DEU,8.0,3.0,69609.0,3.0,2.302585092994046
29.5,5.0,0,1.0,6.0,"Developer, full-stack",,"Your choice (very flexible, you can come in when you want or just as needed)",Software Development,FIN,6.0,4.0,49886.0,3.0,4.085976312551584
49.5,5.0,0,25.0,25.0,"Architect, software or solutions",1.0,"Hybrid (some in-person, leans heavy to flexibility)",Computer Systems Design and Services,BRA,6.0,4.0,21844.0,2.0,2.302585092994046
29.5,4.0,0,6.0,9.0,"Developer, full-stack",0.0,"Hybrid (some remote, leans heavy to in-person)",Retail and Consumer Services,SWE,7.0,3.0,41929.0,3.0,2.302585092994046
59.5,,0,40.0,48.0,Product manager,0.0,Remote,Higher Education,USA,6.0,4.0,210000.0,3.0,2.302585092994046
39.5,5.0,0,16.0,23.0,Engineering manager,1.0,Remote,Fintech,BRA,6.0,2.0,101941.0,2.0,6.619406317542652
29.5,5.0,0,12.0,12.0,"Architect, software or solutions",0.0,"Hybrid (some in-person, leans heavy to flexibility)",Software Development,DEU,6.0,3.0,83531.0,3.0,8.006200887093147
29.5,5.0,0,8.0,10.0,Academic researcher,0.0,"Hybrid (some in-person, leans heavy to flexibility)",Software Development,DEU,6.0,4.0,75410.0,3.0,9.903487552536127
29.5,4.0,0,6.0,10.0,"Developer, full-stack",1.0,"Hybrid (some in-person, leans heavy to flexibility)",Healthcare,USA,5.0,5.0,85000.0,3.0,9.903487552536127
39.5,5.0,1,17.0,22.0,"Senior executive (C-suite, VP, etc.)",1.0,"Your choice (very flexible, you can come in when you want or just as needed)",Software Development,IRN,8.0,4.0,712166.0,2.0,4.085976312551584
39.5,5.0,0,13.0,18.0,"Developer, desktop or enterprise applications",0.0,"Hybrid (some in-person, leans heavy to flexibility)",Software Development,USA,4.0,,200000.0,3.0,9.903487552536127
39.5,5.0,0,20.0,30.0,"Developer, back-end",0.0,Remote,Software Development,USA,6.0,1.0,500000.0,3.0,9.903487552536127
39.5,4.0,0,9.0,16.0,"Developer, front-end",0.0,Remote,Insurance,DEU,4.0,1.0,92812.0,3.0,9.903487552536127
39.5,2.0,0,7.0,10.0,"Developer, full-stack",0.0,"Hybrid (some remote, leans heavy to in-person)",Software Development,CAN,5.0,2.0,56908.0,3.0,5.702114417555504
49.5,4.0,0,23.0,42.0,"Developer, back-end",0.0,Remote,Software Development,USA,9.0,4.0,160000.0,3.0,4.085976312551584
29.5,2.0,0,7.0,9.0,"Developer, full-stack",0.0,Remote,Software Development,USA,4.0,2.0,80000.0,3.0,2.302585092994046
29.5,4.0,0,9.0,13.0,"Developer, back-end",0.0,Remote,Software Development,IND,6.0,5.0,75556.0,1.0,5.702114417555504
21.0,4.0,0,1.0,2.0,"Developer, full-stack",0.0,In-person,Other:,USA,10.0,3.0,88000.0,3.0,5.702114417555504
49.5,2.0,0,22.0,25.0,"Developer, mobile",0.0,Remote,Software Development,ESP,4.0,6.0,34804.0,3.0,5.702114417555504
29.5,4.0,0,2.0,16.0,DevOps engineer or professional,0.0,"Hybrid (some in-person, leans heavy to flexibility)",Software Development,USA,4.0,,107000.0,3.0,9.903487552536127
29.5,4.0,0,5.0,8.0,"Developer, mobile",0.0,"Hybrid (some in-person, leans heavy to flexibility)",Banking/Financial Services,POL,1.0,,65496.0,3.0,8.006200887093147
21.0,4.0,0,3.0,5.0,Other (please specify):,0.0,In-person,Banking/Financial Services,USA,1.0,,40000.0,3.0,4.085976312551584
29.5,5.0,1,13.0,20.0,"Developer, full-stack",,,Fintech,PRT,3.0,5.0,83531.0,3.0,
29.5,4.0,0,3.0,11.0,"Developer, back-end",0.0,In-person,Retail and Consumer Services,NLD,4.0,1.0,48726.0,3.0,2.302585092994046
49.5,1.0,0,17.0,17.0,"Developer, front-end",0.0,Remote,"Internet, Telecomm or Information Services",ZAF,2.0,,62017.0,2.0,9.903487552536127
29.5,4.0,0,14.0,20.0,"Developer, front-end",0.0,Remote,Software Development,IND,3.0,,29060.0,1.0,8.922591630635415
29.5,4.0,0,12.0,13.0,"Architect, software or solutions",0.0,Remote,Software Development,BRA,9.0,3.0,89198.0,2.0,4.085976312551584
29.5,4.0,0,9.0,13.0,"Developer, full-stack",0.0,"Hybrid (some remote, leans heavy to in-person)",Software Development,IND,5.0,2.0,37197.0,1.0,9.903487552536127
29.5,2.0,0,10.0,15.0,"Developer, back-end",1.0,Remote,Fintech,FRA,6.0,1.0,92812.0,3.0,8.006200887093147
77.5,6.0,1,35.0,40.0,"Developer, full-stack",,,Manufacturing,DEU,8.0,2.0,104413.0,3.0,
29.5,4.0,0,12.0,14.0,"Developer, mobile",0.0,"Hybrid (some in-person, leans heavy to flexibility)",Software Development,USA,3.0,,154000.0,3.0,2.302585092994046
29.5,4.0,0,6.0,8.0,"Developer, mobile",0.0,"Hybrid (some remote, leans heavy to in-person)","Internet, Telecomm or Information Services",CHE,4.0,,96714.0,3.0,4.085976312551584
21.0,4.0,0,1.0,10.0,"Developer, full-stack",0.0,"Your choice (very flexible, you can come in when you want or just as needed)",Manufacturing,DEU,7.0,1.0,58587.0,3.0,8.006200887093147
49.5,4.0,0,29.0,32.0,"Architect, software or solutions",0.0,"Hybrid (some remote, leans heavy to in-person)",Healthcare,CAN,8.0,3.0,109438.0,3.0,5.702114417555504
59.5,2.0,1,42.0,44.0,"Architect, software or solutions",,,Software Development,USA,2.0,,250000.0,3.0,
49.5,5.0,0,20.0,25.0,"Developer, back-end",0.0,Remote,Software Development,CAN,6.0,4.0,116733.0,3.0,9.903487552536127
29.5,4.0,0,1.0,8.0,"Developer, full-stack",0.0,"Your choice (very flexible, you can come in when you want or just as needed)",Government,HUN,9.0,1.0,23133.0,3.0,5.702114417555504
39.5,3.0,0,20.0,25.0,"Developer, full-stack",0.0,"Hybrid (some remote, leans heavy to in-person)",Higher Education,CAN,10.0,2.0,73932.0,3.0,8.006200887093147
39.5,4.0,0,13.0,18.0,"Developer, back-end",0.0,Remote,Banking/Financial Services,DEU,4.0,3.0,99773.0,3.0,5.702114417555504
21.0,5.0,0,6.0,7.0,"Developer, full-stack",0.0,Remote,Government,USA,5.0,1.0,102000.0,3.0,5.702114417555504
29.5,4.0,0,4.0,10.0,"Developer, full-stack",0.0,"Hybrid (some in-person, leans heavy to flexibility)",Other:,GBR,3.0,1.0,47650.0,3.0,8.006200887093147
39.5,2.0,0,20.0,16.0,Other (please specify):,0.0,Remote,Software Development,USA,5.0,5.0,355000.0,3.0,9.903487552536127
21.0,1.0,1,7.0,12.0,"Developer, back-end",,,Other:,FIN,11.0,9.0,104413.0,3.0,
59.5,5.0,1,28.0,30.0,"Developer, full-stack",,,Other:,GBR,5.0,3.0,88492.0,3.0,
29.5,4.0,0,6.0,9.0,"Developer, mobile",0.0,"Your choice (very flexible, you can come in when you want or just as needed)",Retail and Consumer Services,CZE,1.0,,89867.0,3.0,5.702114417555504
39.5,5.0,0,13.0,20.0,"Developer, back-end",0.0,Remote,Software Development,HRV,5.0,2.0,75410.0,3.0,2.302585092994046
21.0,5.0,0,2.0,6.0,"Developer, front-end",0.0,"Hybrid (some remote, leans heavy to in-person)",Software Development,GBR,6.0,1.0,53095.0,3.0,2.302585092994046
29.5,2.0,0,5.0,9.0,"Developer, back-end",0.0,Remote,Software Development,GBR,2.0,2.0,83046.0,3.0,4.085976312551584
39.5,5.0,0,20.0,30.0,"Developer, full-stack",0.0,"Hybrid (some in-person, leans heavy to flexibility)",Software Development,NLD,7.0,2.0,64968.0,3.0,5.702114417555504
29.5,5.0,0,4.0,9.0,Academic researcher,0.0,"Hybrid (some remote, leans heavy to in-person)",Energy,QAT,6.0,3.0,46111.0,3.0,4.085976312551584
21.0,3.0,0,4.0,10.0,"Architect, software or solutions",0.0,Remote,Software Development,USA,5.0,1.0,80000.0,3.0,5.702114417555504
39.5,4.0,0,13.0,17.0,"Developer, full-stack",0.0,"Your choice (very flexible, you can come in when you want or just as needed)","Transportation, or Supply Chain",USA,11.0,1.0,75000.0,3.0,9.903487552536127
29.5,4.0,0,5.0,8.0,"Developer, full-stack",0.0,In-person,Higher Education,USA,7.0,4.0,82000.0,3.0,6.619406317542652
49.5,4.0,0,6.0,11.0,"Developer, full-stack",0.0,In-person,Manufacturing,GBR,6.0,3.0,59902.0,3.0,8.006200887093147
29.5,5.0,0,7.0,7.0,Cloud infrastructure engineer,0.0,In-person,"Internet, Telecomm or Information Services",BGD,,,1317.0,1.0,6.619406317542652
29.5,2.0,0,5.0,6.0,"Developer, full-stack",0.0,"Hybrid (some remote, leans heavy to in-person)",Other:,ESP,3.0,1.0,51046.0,3.0,5.702114417555504
39.5,5.0,0,12.0,23.0,"Developer, back-end",0.0,Remote,Software Development,DEU,,,92812.0,3.0,5.702114417555504
49.5,5.0,1,30.0,35.0,"Developer, embedded applications or devices",0.0,Remote,Energy,USA,4.0,,250000.0,3.0,0.0
39.5,4.0,0,13.0,18.0,DevOps engineer or professional,0.0,Remote,Software Development,USA,5.0,1.0,215000.0,3.0,5.702114417555504
49.5,4.0,0,30.0,40.0,Engineering manager,1.0,Remote,Software Development,USA,12.0,7.0,253000.0,3.0,2.302585092994046
29.5,2.0,0,3.0,10.0,"Developer, full-stack",,"Hybrid (some remote, leans heavy to in-person)",Software Development,NLD,5.0,3.0,60560.0,3.0,2.302585092994046
39.5,3.0,0,6.0,6.0,"Architect, software or solutions",0.0,Remote,Software Development,USA,2.0,2.0,185000.0,3.0,4.085976312551584
29.5,5.0,0,7.0,12.0,"Developer, mobile",1.0,"Hybrid (some remote, leans heavy to in-person)",Software Development,GBR,8.0,,78962.0,3.0,4.085976312551584
29.5,5.0,0,10.0,15.0,"Developer, full-stack",0.0,"Hybrid (some in-person, leans heavy to flexibility)",Software Development,FRA,15.0,7.0,95132.0,3.0,8.006200887093147
39.5,4.0,0,14.0,22.0,"Architect, software or solutions",0.0,Remote,Software Development,USA,12.0,9.0,160000.0,3.0,2.302585092994046
29.5,5.0,0,3.0,10.0,"Developer, embedded applications or devices",0.0,"Hybrid (some remote, leans heavy to in-person)",Software Development,FRA,4.0,,52207.0,3.0,8.006200887093147
29.5,2.0,0,10.0,12.0,"Architect, software or solutions",1.0,"Hybrid (some remote, leans heavy to in-person)",Government,CZE,10.0,1.0,24339.0,3.0,5.702114417555504
49.5,4.0,0,20.0,27.0,"Developer, full-stack",0.0,"Your choice (very flexible, you can come in when you want or just as needed)",Software Development,GBR,4.0,1.0,61264.0,3.0,5.702114417555504
29.5,4.0,0,2.0,13.0,"Developer, full-stack",0.0,In-person,Other:,CHL,14.0,3.0,16541.0,3.0,2.302585092994046
29.5,,0,7.0,15.0,"Developer, full-stack",0.0,"Your choice (very flexible, you can come in when you want or just as needed)",Other:,CAN,4.0,2.0,56908.0,3.0,2.302585092994046
21.0,4.0,0,3.0,4.0,"Developer, back-end",0.0,"Hybrid (some remote, leans heavy to in-person)",Software Development,IND,7.0,7.0,5231.0,1.0,9.903487552536127
39.5,4.0,0,14.0,16.0,"Developer, full-stack",0.0,Remote,Fintech,USA,7.0,2.0,160272.0,3.0,8.006200887093147
21.0,4.0,0,2.0,4.0,"Developer, full-stack",0.0,"Your choice (very flexible, you can come in when you want or just as needed)",Fintech,UKR,4.0,7.0,11504.0,2.0,4.085976312551584
39.5,4.0,0,10.0,17.0,"Developer, back-end",0.0,Remote,Software Development,PRT,6.0,4.0,116015.0,3.0,2.302585092994046
29.5,4.0,0,7.0,7.0,"Developer, full-stack",0.0,"Hybrid (some in-person, leans heavy to flexibility)",Software Development,USA,8.0,5.0,138000.0,3.0,
29.5,4.0,0,8.0,13.0,Cloud infrastructure engineer,0.0,Remote,Media & Advertising Services,BRA,7.0,9.0,36000.0,2.0,4.085976312551584
39.5,5.0,0,12.0,17.0,"Developer, embedded applications or devices",0.0,Remote,Computer Systems Design and Services,GBR,8.0,4.0,183791.0,3.0,9.903487552536127
49.5,4.0,0,28.0,28.0,"Developer, back-end",0.0,Remote,Higher Education,USA,8.0,14.0,185000.0,3.0,8.006200887093147
39.5,5.0,0,4.0,5.0,"Developer, front-end",0.0,Remote,"Internet, Telecomm or Information Services",UKR,5.0,1.0,11400.0,2.0,5.702114417555504
29.5,4.0,0,5.0,8.0,"Developer, game or graphics",0.0,Remote,Other:,SWE,2.0,,51572.0,3.0,5.702114417555504
29.5,4.0,0,5.0,10.0,"Developer, full-stack",0.0,"Hybrid (some remote, leans heavy to in-person)",Software Development,IND,5.0,2.0,12205.0,1.0,9.903487552536127
29.5,4.0,0,9.0,24.0,"Developer, full-stack",0.0,Remote,Software Development,USA,4.0,1.0,120000.0,3.0,2.302585092994046
29.5,5.0,0,3.0,10.0,Academic researcher,0.0,"Hybrid (some remote, leans heavy to in-person)","Internet, Telecomm or Information Services",FRA,13.0,2.0,46406.0,3.0,5.702114417555504
39.5,5.0,0,9.0,12.0,"Developer, full-stack",1.0,"Your choice (very flexible, you can come in when you want or just as needed)",Software Development,GBR,5.0,4.0,106463.0,3.0,8.006200887093147
77.5,5.0,1,43.0,48.0,"Architect, software or solutions",1.0,"Hybrid (some remote, leans heavy to in-person)",Computer Systems Design and Services,ITA,6.0,4.0,78890.0,3.0,2.302585092994046
49.5,4.0,0,25.0,25.0,"Developer, back-end",0.0,Remote,Software Development,ARG,7.0,11.0,100000.0,2.0,5.702114417555504
39.5,5.0,0,18.0,20.0,"Developer, full-stack",0.0,"Hybrid (some in-person, leans heavy to flexibility)","Internet, Telecomm or Information Services",GBR,4.0,,103468.0,3.0,2.302585092994046
39.5,2.0,0,15.0,25.0,Engineering manager,1.0,Remote,Software Development,USA,13.0,2.0,170000.0,3.0,
29.5,5.0,0,3.0,7.0,"Developer, desktop or enterprise applications",0.0,"Your choice (very flexible, you can come in when you want or just as needed)",Software Development,GBR,6.0,2.0,74878.0,3.0,8.006200887093147
39.5,2.0,0,9.0,12.0,"Developer, back-end",0.0,"Hybrid (some in-person, leans heavy to flexibility)",Software Development,NLD,7.0,6.0,82695.0,3.0,5.702114417555504
39.5,2.0,0,20.0,11.0,DevOps engineer or professional,0.0,Remote,Insurance,USA,9.0,4.0,180000.0,3.0,9.903487552536127
59.5,2.0,0,35.0,30.0,"Developer, desktop or enterprise applications",0.0,"Hybrid (some remote, leans heavy to in-person)",Software Development,BEL,6.0,2.0,52903.0,3.0,8.922591630635415
29.5,3.0,0,14.0,18.0,"Developer, full-stack",0.0,"Hybrid (some remote, leans heavy to in-person)",Media & Advertising Services,USA,7.0,5.0,80000.0,3.0,4.085976312551584
29.5,5.0,0,12.0,17.0,"Developer, back-end",0.0,"Hybrid (some in-person, leans heavy to flexibility)",Fintech,GBR,7.0,3.0,149756.0,3.0,8.922591630635415
39.5,4.0,0,10.0,20.0,"Developer, full-stack",0.0,Remote,Software Development,CAN,7.0,3.0,116733.0,3.0,4.085976312551584
39.5,5.0,0,12.0,11.0,"Developer, embedded applications or devices",1.0,"Hybrid (some remote, leans heavy to in-person)","Transportation, or Supply Chain",USA,7.0,1.0,825000.0,3.0,8.006200887093147
39.5,4.0,0,14.0,9.0,"Developer, full-stack",0.0,In-person,Energy,USA,5.0,2.0,89000.0,3.0,4.085976312551584
21.0,4.0,0,3.0,10.0,"Developer, full-stack",0.0,Remote,Software Development,GBR,5.0,4.0,75559.0,3.0,4.085976312551584
39.5,4.0,0,20.0,20.0,"Architect, software or solutions",0.0,Remote,Fintech,BRA,6.0,2.0,210252.0,2.0,2.302585092994046
39.5,6.0,0,12.0,12.0,Data scientist,0.0,Remote,Healthcare,USA,6.0,,131000.0,3.0,9.903487552536127
39.5,5.0,0,11.0,25.0,"Architect, software or solutions",0.0,"Hybrid (some in-person, leans heavy to flexibility)",Software Development,CHE,6.0,2.0,198389.0,3.0,5.702114417555504
21.0,4.0,0,1.0,5.0,"Developer, full-stack",0.0,In-person,Software Development,IND,5.0,3.0,12786.0,1.0,9.903487552536127
39.5,4.0,0,8.0,15.0,"Developer, full-stack",0.0,In-person,Government,USA,6.0,2.0,181000.0,3.0,5.702114417555504
29.5,5.0,0,3.0,12.0,"Developer, full-stack",0.0,Remote,Software Development,BRA,2.0,,11832.0,2.0,5.702114417555504
49.5,4.0,0,25.0,35.0,"Developer, back-end",0.0,"Hybrid (some in-person, leans heavy to flexibility)",Insurance,ESP,6.0,4.0,81210.0,3.0,9.903487552536127
29.5,1.0,1,13.0,20.0,"Developer, back-end",,,Software Development,CZE,8.0,2.0,74889.0,3.0,
39.5,2.0,0,16.0,22.0,"Developer, full-stack",0.0,In-person,Retail and Consumer Services,USA,8.0,5.0,200000.0,3.0,2.302585092994046
59.5,2.0,0,39.0,45.0,"Developer, mobile",0.0,"Your choice (very flexible, you can come in when you want or just as needed)",Software Development,GBR,10.0,2.0,84408.0,3.0,4.085976312551584
39.5,5.0,0,6.0,15.0,"Developer, embedded applications or devices",0.0,Remote,Software Development,UKR,4.0,,45000.0,2.0,9.903487552536127
29.5,2.0,0,8.0,16.0,"Developer, full-stack",1.0,"Hybrid (some in-person, leans heavy to flexibility)",Software Development,CZE,8.0,7.0,33700.0,3.0,2.302585092994046
29.5,4.0,0,9.0,9.0,Database administrator or engineer,0.0,"Hybrid (some remote, leans heavy to in-person)",Healthcare,BRA,4.0,1.0,24029.0,2.0,4.085976312551584
49.5,4.0,0,23.0,26.0,"Developer, full-stack",0.0,"Hybrid (some in-person, leans heavy to flexibility)",Government,USA,5.0,6.0,220000.0,3.0,5.702114417555504
29.5,4.0,0,6.0,16.0,"Developer, full-stack",0.0,In-person,Software Development,FRA,5.0,2.0,43505.0,3.0,5.702114417555504
49.5,5.0,0,20.0,40.0,"Developer, full-stack",0.0,"Hybrid (some remote, leans heavy to in-person)",Government,CHE,7.0,2.0,173590.0,3.0,4.085976312551584
39.5,4.0,0,22.0,25.0,Applied scientist,0.0,Remote,Government,CAN,11.0,1.0,76825.0,3.0,
39.5,4.0,0,13.0,13.0,"Developer, full-stack",0.0,In-person,Fintech,SWE,,,100629.0,3.0,6.619406317542652
49.5,2.0,0,31.0,35.0,"Architect, software or solutions",1.0,Remote,Software Development,CAN,3.0,5.0,100683.0,3.0,4.085976312551584
29.5,2.0,0,12.0,15.0,"Senior executive (C-suite, VP, etc.)",0.0,Remote,Software Development,USA,2.0,4.0,205000.0,3.0,4.085976312551584
21.0,5.0,0,2.0,6.0,"Developer, full-stack",0.0,"Hybrid (some remote, leans heavy to in-person)",Other:,FRA,7.0,3.0,55687.0,3.0,5.702114417555504
21.0,1.0,0,3.0,5.0,"Developer, full-stack",0.0,"Hybrid (some in-person, leans heavy to flexibility)",Software Development,DEU,7.0,3.0,58007.0,3.0,2.302585092994046
49.5,4.0,0,25.0,29.0,"Developer, full-stack",0.0,Remote,Software Development,USA,6.0,3.0,250000.0,3.0,0.0
39.5,2.0,1,18.0,26.0,"Architect, software or solutions",,,"Internet, Telecomm or Information Services",SVK,7.0,13.0,232029.0,3.0,
39.5,1.0,1,15.0,16.0,"Developer, mobile",,,Software Development,SWE,4.0,,157232.0,3.0,
39.5,4.0,0,16.0,30.0,"Developer, back-end",0.0,Remote,Fintech,GBR,4.0,4.0,142949.0,3.0,4.085976312551584
21.0,4.0,0,2.0,10.0,"Developer, back-end",0.0,In-person,Software Development,IND,8.0,8.0,11043.0,1.0,4.085976312551584
